gene,logFC,p_val
RGS14,0.0,1.4276286845886858e-05
EDRF1-AS1,0.0,0.00013034057333402642
RALGAPA1,-19.931570012018494,0.0002096046557385805
KCTD19,0.0,0.0004148540538765881
PLXDC1,0.0,0.0004359351680645921
MKRN2OS,0.0,0.0005745359040508884
MIR3976HG,0.0,0.0008356303209081849
EMILIN3,0.0,0.001061707225406182
NUDT19,0.0,0.0012126446109970075
NPTN,0.0,0.001213918050141728
HUS1,0.0,0.001216534013743735
PSME2,0.0,0.0012502485766510744
MARCHF10,0.0,0.0012917825632869858
LOC107986644,0.0,0.0013073526537926892
PIWIL4-AS1,0.0,0.001307654380660577
LOC107986651,0.0,0.0013569908128142928
PPP1R3F,0.0,0.0013890611873767023
C8orf44,0.0,0.001497987901952613
FAM163A,0.0,0.001635377518791859
CMAHP,0.0,0.0016961488846928797
PEX16,0.0,0.0017173472959090062
TMEFF1,0.0,0.0017377952904345001
WDR46,0.0,0.0017894499810420337
LOC105371566,0.0,0.0017894499810420337
LOC101930026,0.0,0.0019454223759474488
GRAMD1B,0.0,0.0020213828782664426
SMIM2-AS1,0.0,0.002147515441540467
NTN5,0.0,0.0021508074448041065
DLSTP1,0.0,0.002263819769274091
B4GAT1,0.0,0.002286333632616986
LAGE3,0.0,0.0022996042362045345
LOC105372411,0.0,0.0023230870200051353
LOC107987399,0.0,0.0023742042590604827
KLHL15,0.0,0.002494968413255556
SNX25,0.0,0.002532779190792122
TPD52L2,0.0,0.0025727517577161787
SLC25A16,0.0,0.00261529693813641
DPP10-AS1,0.0,0.0026343794660288436
MINDY2-DT,0.0,0.0027138608919251342
CTSF,0.0,0.0028890595591406602
ZNF658B,0.0,0.0028929580050694563
ZNF235,0.0,0.002950832711352018
LOC107985164,0.0,0.002959691029786648
MAS1,0.0,0.00301670841094928
LOC105369335,0.0,0.0030167130280055326
PRDM10,0.0,0.0030554904794400685
NSMCE1-DT,0.0,0.0032270999834534925
EME1,0.0,0.0032810651451052196
IFT140,0.0,0.003308317253492985
LOC105371131_1,0.0,0.0033666127281911785
SERP2,0.0,0.003609037384405817
DANT1,0.0,0.003695563754106474
PACC1,0.0,0.0037443252234397343
TRIM21,0.0,0.003785475764321842
EIF2AK3,0.0,0.003804056033787682
OR4F3,0.0,0.0038359743775998275
ETNK2,0.0,0.004031628835034838
NEGR1,0.0,0.00405436986573085
PLBD1,0.0,0.004102636760569662
DENND2D,0.0,0.004172345058727951
LINC01500,0.0,0.004223258003794873
LGALS8,0.0,0.004268043099339696
LOC102725228,0.0,0.004283663076933098
LOC105376425,0.0,0.004399103432921094
NRON,0.0,0.004400685151942601
CAMTA2,0.0,0.004402981695290541
LINC01317,0.0,0.0044078009310364145
USP43,0.0,0.004433071048449841
LOC101929846,0.0,0.004457475638555727
SLC39A11,0.0,0.004525654551028527
IFNAR1,0.0,0.004631507735699571
LOC440300,0.0,0.004656684094999881
NBPF19,0.0,0.0047359338193534274
BAZ1A-AS1,0.0,0.004747949194224855
ZBTB39,0.0,0.004751242751650377
AGO3,0.0,0.004790096493671353
VWA1,0.0,0.004866530891746797
TMEM151B,0.0,0.004917284754380752
ACSL1,0.0,0.004974414803562673
LINC00582,0.0,0.004979088331181116
LOC105375546,0.0,0.005038150491561956
GABBR2,0.0,0.005155897119981368
LINC01780,0.0,0.005172247180335249
GATA1,0.0,0.005172247180335249
SAV1,0.0,0.005248456546345714
THOP1,0.0,0.005362130252222479
LOC254896,0.0,0.005406740415928827
PRDM4,0.0,0.005470015610319456
CDC42BPG,0.0,0.005511284803081308
LTBP4,0.0,0.0055119107207628115
LOC101927293,0.0,0.005529675231384424
SBK1,0.0,0.005609191229069722
USP2,0.0,0.005730793729982393
LRWD1,0.0,0.005775885814447311
H4C1,0.0,0.005789581822287454
KCNT1,0.0,0.005838942495201001
DIS3L-AS1,0.0,0.005961438182403146
TSG101,0.0,0.006040260748413739
NCAPH,0.0,0.006299572964683243
TOGARAM1,0.0,0.006333398528231812
OGDHL,0.0,0.006354085663231409
TAF5L,0.0,0.006366390622367329
GTF3C4,0.0,0.006387506787076035
GABRB1,0.0,0.006478478571604749
LOC102724727,0.0,0.006481244603620613
NANOG,0.0,0.006495670786707591
LOC105372092,0.0,0.006495670786707591
LOC107984292,0.0,0.006531247892686438
LOC107985915,0.0,0.006538735819783221
LOC105371492,0.0,0.006579250769697784
POLN,0.0,0.006598546901600295
HIGD2A,0.0,0.006771823792691745
KIF18B,0.0,0.006945861990537224
CC2D1B,0.0,0.006991825349746702
HYAL1,0.0,0.007021046660593669
BCRP2,0.0,0.00712691026108768
LOC105372877,0.0,0.007149277068618968
GMFG,0.0,0.007284057950764486
LZTS1-AS1,0.0,0.007310879543306375
DERPC,0.0,0.007372861729793359
NDRG1,0.0,0.007385772068893597
LOC100421372,0.0,0.007403329570618822
LINC01901,0.0,0.0074488374574596655
ALB,0.0,0.007470246913340594
UVSSA,0.0,0.007602873702979107
MMGT1,0.0,0.0076251555734245646
DAGLB,0.0,0.007637151228180375
TRT-AGT2-1,0.0,0.007648812494469144
MOB4,0.0,0.007664612378085912
CEP104,0.0,0.007698034776111498
LINC02680,0.0,0.007740549796743118
MPZL3,0.0,0.007783452488870484
INTS10,0.0,0.007799706237235841
SCN1A-AS1,0.0,0.007907430492907402
LOC107985154,0.0,0.007929598493118572
CEP55,0.0,0.008047540166463717
